"XDR","IMF","Special Drawing Right (XDR)"
"INR","India","Rupee (INR)"
"IDR","Indonesia","Rupiah (IDR)"
"IRR","Iran","Rial (IRR)"
"IQD","Iraq","Dinar (IQD)"
"IEP","Ireland (Eire)","Punt (IEP)"
"ILS","Israel","Shekel (ILS)"
"ITL","Italy","Lira (ITL)"
"XOF","Ivory Coast","CFA Franc BCEAO (XOF)"
"JMD","Jamaica","Dollar (JMD)"
"NOK","Jan Mayen and Svalbard","Norwegian Krone (NOK)"
"JPY","Japan","Yen (JPY)"
"JOD","Jordan","Dinar (JOD)"
"KZT","Kazakstan","Tenge (KZT)"
"AUD","Keeling (Cocos) Islands","Australian Dollar (AUD)"
"KES","Kenya","Shilling (KES)"
"AUD","Kiribati","Australian Dollar (AUD)"
"KPW","Korea (North)","Won (KPW)"
"KRW","Korea (South)","Won (KRW)"
"KWD","Kuwait","Dinar (KWD)"
"KGS","Kyrgyzstan","Som (KGS)"
"LAK","Laos","Kip (LAK)"
"LVL","Latvia","Lat (LVL)"
"LBP","Lebanon","Pound (LBP)"
"LSL","Lesotho","Loti (LSL)"
"ZAR","Lesotho","South African Rand (ZAR)"
"LRD","Liberia","Dollar (LRD)"
"LYD","Libya","Dinar (LYD)"
"CHF","Liechtenstein","Swiss Franc (CHF)"
"LTL","Lithuania","Lita (LTL)"
"LUF","Luxembourg","Franc (LUF)"
"MOP","Macau","Pataca (MOP)"
"MKD","Macedonia","Denar (MKD)"
"MGF","Madagascar","Malagasy Franc (MGF)"
"PTE","Madeira Islands","Portuguese Escudo (PTE)"
"MWK","Malawi","Kwacha (MWK)"
"MYR","Malaysia","Ringgit (MYR)"
"MVR","Maldives (Maldive Islands)","Rufiyaa (MVR)"
"XOF","Mali","CFA Franc BCEAO (XOF)"
"MTL","Malta","Lira (MTL)"
"FKP","Malvinas (Falkland Islands)","Pound (FKP)"
"USD","Mariana Islands (Northern)","US Dollar (USD)"
"USD","Marshall Islands","US Dollar (USD)"
"FRF","Martinique","French Franc (FRF)"
"MRO","Mauritania","Ouguiya (MRO)"
"MUR","Mauritius","Rupee (MUR)"
"FRF","Mayotte","French Franc (FRF)"
"AUD","McDonald Islands and Heard Island","Australian Dollar (AUD)"
"MXP","Mexico","Peso (MXP)"
"USD","Micronesia (Federated States of)","US Dollar (USD)"
"USD","Midway Islands","US Dollar (USD)"
